brand,cnt,share,cum_share
,6113008,0.144009,0.144009
samsung,5282775,0.124451,0.268460
apple,4122554,0.097118,0.365578
xiaomi,3083763,0.072647,0.438225
huawei,1111205,0.026178,0.464402
lucente,655861,0.015451,0.479853
lg,562404,0.013249,0.493102
bosch,557090,0.013124,0.506226
oppo,482887,0.011376,0.517602
sony,456644,0.010758,0.528359
acer,428153,0.010086,0.538445
cordiant,368277,0.008676,0.547121
artel,338203,0.007967,0.555089
lenovo,338103,0.007965,0.563054
hp,305242,0.007191,0.570244
indesit,290101,0.006834,0.577079
dauscher,289853,0.006828,0.583907
philips,282699,0.006660,0.590567
redmond,279734,0.006590,0.597157
respect,271167,0.006388,0.603545
casio,258000,0.006078,0.609623
elenberg,248303,0.005849,0.615472
vitek,237162,0.005587,0.621059
stels,236278,0.005566,0.626625
beko,222151,0.005233,0.631859
asus,216788,0.005107,0.636966
triangle,212952,0.005017,0.641982
polaris,201806,0.004754,0.646736
tefal,198552,0.004677,0.651414
nokian,185123,0.004361,0.655775
