category_code,cnt,share,cum_share
,13515609,0.318398,0.318398
electronics.smartphone,11507231,0.271085,0.589483
electronics.clocks,1311033,0.030885,0.620368
computers.notebook,1137623,0.026800,0.647168
electronics.video.tv,1113750,0.026238,0.673406
electronics.audio.headphone,1100188,0.025918,0.699324
appliances.kitchen.refrigerators,887755,0.020914,0.720237
appliances.kitchen.washer,869404,0.020481,0.740719
appliances.environment.vacuum,801670,0.018886,0.759604
apparel.shoes,763901,0.017996,0.777600
auto.accessories.player,470208,0.011077,0.788677
computers.desktop,424242,0.009994,0.798671
apparel.shoes.keds,410304,0.009666,0.808337
furniture.bedroom.bed,358453,0.008444,0.816782
electronics.tablet,316735,0.007462,0.824243
electronics.audio.subwoofer,313664,0.007389,0.831632
furniture.living_room.cabinet,301410,0.007101,0.838733
construction.tools.drill,279948,0.006595,0.845328
electronics.telephone,247628,0.005834,0.851162
auto.accessories.videoregister,224076,0.005279,0.856440
kids.carriage,220242,0.005188,0.861629
furniture.living_room.sofa,216555,0.005102,0.866730
appliances.kitchen.blender,200969,0.004734,0.871465
appliances.kitchen.oven,195037,0.004595,0.876059
auto.accessories.alarm,194175,0.004574,0.880634
accessories.bag,190723,0.004493,0.885127
appliances.kitchen.kettle,184795,0.004353,0.889480
appliances.kitchen.microwave,173380,0.004084,0.893564
appliances.iron,165393,0.003896,0.897461
appliances.kitchen.meat_grinder,160237,0.003775,0.901236
